setSize;avrgTime
2;203518
2;197761
2;197284
2;196959
2;197116
2;195684
2;196470
2;197453
2;196637
2;196330
3;198249
3;197751
3;199363
3;207330
3;199690
3;202237
3;217118
3;197589
3;199997
3;200969
4;198725
4;199677
4;204641
4;208329
4;202081
4;199200
4;198715
4;203527
4;203052
4;199205
5;204803
5;208644
5;203365
5;202409
5;203358
5;203674
5;204321
5;206086
5;200327
5;201121
6;203209
6;204955
6;205281
6;229130
6;203355
6;206547
6;211362
6;202402
6;202887
6;205126
7;208166
7;210245
7;204783
7;205603
7;205117
7;205764
7;203204
7;203673
7;206697
7;209595
